_id,results[0].elapsedTime,results[1].elapsedTime,results[2].elapsedTime,results[3].elapsedTime,results[4].elapsedTime,results[5].elapsedTime,results[6].elapsedTime,results[7].elapsedTime,results[8].elapsedTime,results[9].elapsedTime,results[10].elapsedTime,results[11].elapsedTime,results[12].elapsedTime,results[13].elapsedTime,results[14].elapsedTime,results[15].elapsedTime,results[16].elapsedTime,results[17].elapsedTime,results[18].elapsedTime,results[19].elapsedTime,results[0].isCorrect,results[1].isCorrect,results[2].isCorrect,results[3].isCorrect,results[4].isCorrect,results[5].isCorrect,results[6].isCorrect,results[7].isCorrect,results[8].isCorrect,results[9].isCorrect,results[10].isCorrect,results[11].isCorrect,results[12].isCorrect,results[13].isCorrect,results[14].isCorrect,results[15].isCorrect,results[16].isCorrect,results[17].isCorrect,results[18].isCorrect,results[19].isCorrect,results[0].questionId,results[1].questionId,results[2].questionId,results[3].questionId,results[4].questionId,results[5].questionId,results[6].questionId,results[7].questionId,results[8].questionId,results[9].questionId,results[10].questionId,results[11].questionId,results[12].questionId,results[13].questionId,results[14].questionId,results[15].questionId,results[16].questionId,results[17].questionId,results[18].questionId,results[19].questionId,demographics.age,demographics.csBackground,demographics.yearsOfExperience,createdAt
674f758f21997cc708e5bb75,2426,2434,2409,2416,2050,1826,3013,3201,1896,2117,2496,4806,2048,2612,1910,2586,4319,2646,3759,3859,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,true,2,2024-12-03T21:18:07.314Z
674f7922e95702b59982bf91,2286,2431,2167,1607,2100,1956,5162,3239,3038,1590,1556,3423,2041,4038,1474,2506,4903,2443,2938,2490,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,true,2,2024-12-03T21:33:22.595Z
674f7a6de95702b59982bf92,6971,5840,3841,4020,8056,7875,4824,3108,4291,5641,3842,3842,2345,2076,3343,2227,4892,3640,3244,14765,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,22,true,2,2024-12-03T21:38:53.455Z
674f7ac5e95702b59982bf93,3498,4196,3712,2778,2810,3443,3264,2145,5073,3248,3822,1911,4031,3611,2865,3343,3629,3681,3246,3046,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,22,true,5,2024-12-03T21:40:21.063Z
674f7c17775bbb687eb28202,4269,3558,3186,2344,3831,10435,4381,4296,4529,4780,5546,4663,2030,2784,3778,2566,3458,2549,4027,3331,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,false,0,2024-12-03T21:45:59.396Z
674f7c18775bbb687eb28203,15129,7131,6846,6428,10554,6808,4201,3904,4720,4885,7977,5412,2680,8973,9006,7725,4286,8150,3904,5825,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,false,0,2024-12-03T21:46:00.980Z
674f7ce3775bbb687eb28204,8789,10994,9798,4331,6541,8143,7261,2922,4979,11797,12152,4011,6515,3287,5804,5864,6610,3952,6332,5234,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,false,0,2024-12-03T21:49:23.264Z
674f7d41775bbb687eb28205,6469,3099,6014,2878,3987,4434,4595,3059,2857,2564,4161,2396,4548,4494,1856,5967,3938,3539,6607,5061,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,false,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,22,true,1,2024-12-03T21:50:57.904Z
674f7ef8745296d0e44b754d,5677,6289,5569,3068,4641,4893,4669,5339,4337,2923,4688,2541,2157,3424,6453,3689,5589,4041,5460,3709,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,20,true,2,2024-12-03T21:58:16.487Z
674f81e54f61ef90d066c83a,4581,8952,4660,3228,3776,5415,4783,2509,3898,2655,4926,3360,2495,3444,2395,5187,5735,3496,5381,4987,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,true,1,2024-12-03T22:10:45.381Z
674f81fd4f61ef90d066c83b,3416,2123,2436,1571,1681,3411,1597,1599,2089,1942,1358,2483,1551,1460,1586,1626,2041,1793,1341,1559,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,false,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,true,2,2024-12-03T22:11:09.040Z
674f82374f61ef90d066c83c,3689,3969,2354,5530,2009,2153,2132,9016,39951,5851,12404,5574,2590,3241,2331,2784,2972,2247,1759,2565,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,true,8,2024-12-03T22:12:07.547Z
674f841149002af9af589334,5067,5370,5872,2259,3455,5109,4835,3676,3461,5522,5190,5498,4060,5241,6594,6473,6986,5013,12412,5792,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,true,8,2024-12-03T22:20:01.041Z
674f85406f5b965f6fece369,7032,5157,4796,3995,4878,5426,6778,3977,4379,6180,5995,10529,3463,4429,4928,4012,5547,7263,1613,3862,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,7,2024-12-03T22:25:04.403Z
674f87a9d438e1da63e1436b,7581,4605,9674,4173,4925,8552,5404,2538,4158,5221,9089,5222,8789,3754,3855,4524,4117,5821,5794,4942,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,3,2024-12-03T22:35:21.652Z
674f8875d438e1da63e1436c,12236,6493,12278,2391,4186,17398,9005,1922,5322,4771,5122,5836,2189,5056,2760,7504,8306,4674,3524,4622,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,true,3,2024-12-03T22:38:45.056Z
674f8878d438e1da63e1436d,4099,2983,4560,1978,3223,4721,2848,5766,3439,3019,3959,2957,1560,2663,3409,4443,3894,2621,6150,4815,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,5,2024-12-03T22:38:48.741Z
674f88ecd438e1da63e1436e,4121,4250,11726,11483,2385,5873,2892,2870,3057,3143,4217,4642,2512,3136,2202,3231,6829,2864,3390,5141,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,5,2024-12-03T22:40:44.795Z
674f96911ee015438d753550,9673,9995,10213,5078,7279,18944,7613,6427,10361,4897,20245,5578,4744,6009,10030,14978,7795,7311,13030,7278,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,58,false,0,2024-12-03T23:38:57.978Z
674f9c67215ce1b9444f15d5,5226,4486,4343,2257,4387,5659,4539,2119,3811,4525,4207,5787,3692,3888,3142,3658,3724,3775,2009,2675,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,true,2,2024-12-04T00:03:51.508Z
674fdc15d76a7433294a53be,6587,5061,5197,2543,7984,3557,2984,3982,3552,3368,4656,3817,2971,2087,5219,6488,4003,4988,6737,6174,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,7,2024-12-04T04:35:33.982Z
674ff3f44cccf6a2f88c01e1,7699,6530,4213,5795,3580,18105,5779,5606,4090,5811,5493,3794,7280,2760,15059,497,328,310,193,150,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,false,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,4,2024-12-04T06:17:24.645Z
674ffc91dee2829cb5d73915,5527,4293,4240,3848,4071,14304,3756,5829,4430,4573,6042,2678,3598,3431,7812,4381,4293,3414,2097,4366,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,20,false,0,2024-12-04T06:54:09.498Z
6750039cb3c0bd60a05422e2,3744,3624,2873,1873,2040,2853,1744,2558,1771,1976,2325,2940,3008,1943,2368,2693,2928,1919,2277,2257,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,20,false,0,2024-12-04T07:24:12.092Z
6750053e881951e5d84bf07e,4261,3240,3163,2096,1870,2662,2497,1772,1629,3669,3059,2077,3465,2400,3927,5189,3958,2734,4280,3812,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,21,true,7,2024-12-04T07:31:10.655Z
67500d7657900f8273aff8e8,5089,4400,4200,2621,3957,4206,4383,6924,5686,4140,7686,5136,6900,5223,6103,4926,3018,5544,4656,5056,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,false,0,2024-12-04T08:06:14.607Z
67500f850bb4cd6eac4ecc3c,4555,4368,4935,2388,3990,3275,2940,2853,3394,2882,4544,3773,3260,2997,2355,2460,3390,4257,2225,3277,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,0,true,1,2024-12-04T08:15:01.644Z
67501d08c398929b7a04a96b,9255,9306,12322,8471,6337,16137,11556,4456,6656,26341,8004,31522,5775,6390,6335,14224,12973,14690,6877,5992,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,29,false,0,2024-12-04T09:12:40.986Z
675024e8efae76c9e7006851,3995,4123,2457,2406,2457,2972,2720,4004,3091,2722,3938,3063,3056,3058,2751,3338,3046,2638,2821,4372,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,true,6,2024-12-04T09:46:16.557Z
675028849591c3fd9b86c92f,4344,3676,6208,2358,3191,3072,4545,3409,5723,6144,7747,5959,10930,5772,3179,4491,4660,2007,3107,5362,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,false,0,2024-12-04T10:01:40.483Z
67504209c242968b33f6a401,8016,5940,5329,4225,4331,14818,5200,3918,2395,6133,4902,4332,4719,3082,8540,4374,10293,4355,3798,5539,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,30,true,1,2024-12-04T11:50:33.084Z
6750591794d41a6c001adae8,4161,4114,4190,2717,2882,2265,3629,5027,2868,6380,6163,4319,5470,9098,4326,5194,4472,3650,4517,5614,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,true,2,2024-12-04T13:28:55.738Z
67508278552c62ded9ce3247,6014,6620,6785,2692,4416,9330,7541,3063,5312,4758,3951,10607,2965,4183,2977,3851,4919,3446,5018,3808,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,26,false,0,2024-12-04T16:25:28.013Z
67515f8695e19cd1fc0874be,6898,3196,4046,1761,2581,2260,3264,3271,2785,2776,6307,2182,2163,2755,2405,3552,4769,5874,3848,4100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,24,false,0,2024-12-05T08:08:38.442Z
6752f2f1deb25df4faef7f03,6212,5083,4345,2292,5428,9240,3950,5598,11742,5071,4641,4809,2951,3787,3325,4884,8847,5783,4370,4219,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,8,10,16,1,14,11,6,7,18,20,17,12,5,19,2,13,15,4,9,3,25,true,1,2024-12-06T12:49:53.211Z
